"Title:","Initial Unemployment Claims from the Unemployment Insurance Weekly Claims Insurance - Detail Database"
"SubTitle:","State - Seasonally Adjusted: Non-Seasonally Adjusted"
"Time:","04/06/1985 - 11/05/2022"
"Unit of Measure:","#","#","#","#","#"
"Citation:","Employment and Training Administration, United States Department of Labor (2022-11-11). Unemployment Insurance Weekly Claims Insurance - Detail: Initial Unemployment Claims | Alaska, California, Hawaii, New York, Wyoming | Non-Seasonally Adjusted, 04/06/1985 - 11/05/2022. Data Planet? Statistical Datasets: A SAGE Publishing Resource. (Dataset). Dataset-ID:  060-001-001 doi:https://doi.org/10.6068/DP1846838569328"
"ColumnCount:",6
"RowCount:",1938

"Time","Alaska, Non-Seasonally Adjusted, Initial Claims","California, Non-Seasonally Adjusted, Initial Claims","Hawaii, Non-Seasonally Adjusted, Initial Claims","New York, Non-Seasonally Adjusted, Initial Claims","Wyoming, Non-Seasonally Adjusted, Initial Claims"
"02/03/1996",2257,78921,2415,24429,939
"02/10/1996",2370,86545,1870,24666,682
"02/17/1996",2396,65724,1821,22320,549
"02/24/1996",1893,71363,1427,18983,441
"03/02/1996",2338,76213,2092,26005,686
"03/09/1996",2095,73217,2169,21712,518
"03/16/1996",2177,67466,1843,22591,447
"03/23/1996",2166,62530,1720,25536,445
"03/30/1996",2296,61028,1621,21242,454
"04/06/1996",2760,64064,1998,20384,480
"04/13/1996",2040,58717,2303,22776,696
"04/20/1996",2255,62047,1716,25250,448
"04/27/1996",1832,56575,1588,19724,370
"05/04/1996",1919,61563,1853,19366,397
"05/11/1996",1749,63978,1873,18714,350
"05/18/1996",1771,59660,1665,16914,353
"05/25/1996",1831,58334,1769,17512,399
"06/01/1996",1493,51388,1359,15156,457
"06/08/1996",1875,63666,2062,19071,476
"06/15/1996",1832,61543,2309,17121,324
"06/22/1996",1541,67757,2166,17366,384
"06/29/1996",1486,63885,1799,21613,424
"07/06/1996",1550,58134,1790,27242,441
"07/13/1996",1829,62123,2276,28360,473
"07/20/1996",1378,56464,1786,19068,378
"07/27/1996",1430,56834,1559,16520,340
"08/03/1996",1468,58758,1760,16409,332
"08/10/1996",1556,60793,1753,17185,320
"08/17/1996",1482,53805,1451,17994,334
"08/24/1996",1463,52127,1787,18152,310
"08/31/1996",1296,52693,1520,16569,297
"09/07/1996",1196,50002,1690,14963,307
"09/14/1996",1759,57896,1805,18118,313
"09/21/1996",1933,57066,1645,16245,301
"09/28/1996",1785,57150,1439,15343,389
"10/05/1996",2235,62639,1562,17639,418
"10/12/1996",2036,61640,2052,17207,449
"10/19/1996",1643,56360,1795,16299,492
"10/26/1996",2565,60205,1615,18239,572
"11/02/1996",2201,66904,1673,18440,808
"11/09/1996",2249,70818,1971,21065,735
"11/16/1996",2017,62829,2453,20685,577
"11/23/1996",2255,82216,2590,23087,823
"11/30/1996",1795,47527,1457,20760,789
"12/07/1996",2201,75339,2001,27072,791
"12/14/1996",2148,75634,1712,24466,690
"12/21/1996",1842,64752,1821,23920,1103
"12/28/1996",1698,62979,1797,24366,819
"01/04/1997",2103,69325,2449,44365,607
"01/11/1997",3427,75729,2808,32381,1196
"01/18/1997",2681,74314,2090,26688,869
"01/25/1997",1962,65317,1870,21401,592
"02/01/1997",2538,76314,2095,22646,610
"02/08/1997",2271,81629,1857,22140,635
"02/15/1997",2203,59522,1707,20122,616
"02/22/1997",1854,61415,1582,17241,501
"03/01/1997",2156,61965,1692,25583,543
"03/08/1997",2016,62958,1917,20013,469
"03/15/1997",2050,57201,1658,18124,513
"03/22/1997",2131,57075,1526,16899,480
"03/29/1997",2149,55250,1308,17102,424
"04/05/1997",2271,58894,2639,20557,419
"04/12/1997",2426,55712,2255,19778,870
"04/19/1997",2146,54527,1597,16533,528
"04/26/1997",2019,52469,1603,18500,357
"05/03/1997",1999,56822,1785,24884,419
"05/10/1997",1729,57129,1950,18543,381
"05/17/1997",1898,53743,1884,16619,307
"05/24/1997",1690,53562,1910,16606,318
"05/31/1997",1298,48399,1541,14946,366
"06/07/1997",1907,60609,1953,18115,403
"06/14/1997",2001,58766,1996,16405,364
"06/21/1997",1537,61290,2507,16125,257
"06/28/1997",1422,61277,1647,18532,257
"07/05/1997",1226,58247,1655,27848,252
"07/12/1997",1508,60277,2363,25207,358
"07/19/1997",1447,55936,1805,17874,290
"07/26/1997",1496,52129,1607,14956,241
"08/02/1997",1346,56679,1895,14862,291
"08/09/1997",1364,59847,1899,16173,279
"08/16/1997",1346,54842,1481,15420,330
"08/23/1997",1346,51025,1826,16127,257
"08/30/1997",1278,51091,1680,16290,242
"09/06/1997",1318,47573,1858,13690,242
"09/13/1997",1536,52863,1899,16812,237
"09/20/1997",1634,55040,1628,14911,251
"09/27/1997",1918,57531,1505,14562,262
"10/04/1997",1890,60808,1563,15388,280
"10/11/1997",2191,60934,1935,18405,383
"10/18/1997",1778,56612,1690,14338,365
"10/25/1997",2225,58575,1566,17902,474
"11/01/1997",2416,61123,1564,17546,492
"11/08/1997",2387,69753,1862,19101,646
"11/15/1997",1971,68658,1479,18854,655
"11/22/1997",2058,65990,1878,21548,680
"11/29/1997",1878,63452,1396,20249,574
"12/06/1997",2435,69316,2116,26543,719
"12/13/1997",1822,59084,1936,20861,759
"12/20/1997",2206,60334,1742,20143,624
"12/27/1997",1855,51103,1607,20753,771
"01/03/1998",2077,47148,1804,40290,578
"01/10/1998",3570,66931,2618,33211,1060
"01/17/1998",2530,67251,2160,25348,763
"01/24/1998",1870,54043,1588,19457,578
"01/31/1998",2176,64713,1795,21457,671
"02/07/1998",2095,86174,1854,21025,602
"02/14/1998",2096,67668,1684,19228,566
"02/21/1998",1695,62582,1404,15916,514
"02/28/1998",1882,62732,1660,25676,577
"03/07/1998",2074,61813,1970,18035,599
"03/14/1998",1906,56176,1935,17023,486
"03/21/1998",2351,54835,1787,17434,483
"03/28/1998",2073,56664,1531,16417,460
"04/04/1998",2174,62846,2162,15787,457
"04/11/1998",2069,55776,2046,17170,627
"04/18/1998",2127,53017,1888,19656,516
"04/25/1998",2034,48574,1905,25999,457
"05/02/1998",2099,53488,1990,16373,293
"05/09/1998",1981,59959,2318,15932,308
"05/16/1998",1480,55393,1779,15109,318
"05/23/1998",1622,50365,1648,14813,289
"05/30/1998",1532,47097,1560,13722,333
"06/06/1998",1928,53329,2213,16378,420
"06/13/1998",1893,51181,1977,14507,398
"06/20/1998",1512,52038,2496,16542,337
"06/27/1998",1546,51970,1725,22951,286
"07/04/1998",1427,52739,1770,29028,275
"07/11/1998",1571,51629,2545,28795,381
"07/18/1998",1422,45129,1855,18920,315
"07/25/1998",1398,52443,1687,15205,291
"08/01/1998",1374,48885,1622,14061,278
"08/08/1998",1455,52227,1768,14712,306
"08/15/1998",1313,43791,1521,14200,253
"08/22/1998",1450,43553,1289,14246,274
"08/29/1998",1479,41715,1788,15579,307
"09/05/1998",1762,44419,2280,14519,279
"09/12/1998",1350,38459,1904,12886,246
"09/19/1998",1830,43857,1654,15321,303
"09/26/1998",1817,44105,1550,13133,274
"10/03/1998",2213,47677,1662,15399,330
"10/10/1998",2076,50551,2112,16426,516
"10/17/1998",2011,47142,1708,13419,428
"10/24/1998",2058,51520,1597,16557,459
"10/31/1998",2280,56398,1470,16489,540
"11/07/1998",2282,67108,1680,18080,921
"11/14/1998",1975,59800,1715,19007,892
"11/21/1998",2323,60555,1870,21078,715
"11/28/1998",1900,45807,1439,18433,574
"12/05/1998",2368,72056,1966,26568,622
"12/12/1998",1965,53401,1746,19836,702
"12/19/1998",2087,53859,1769,19689,691
"12/26/1998",2071,51006,1591,20267,1221
"01/02/1999",2234,46973,1884,33769,589
"01/09/1999",3579,64308,2793,37192,1145
"01/16/1999",2861,55050,1835,25436,850
"01/23/1999",2381,55132,1824,20012,567
"01/30/1999",2494,59366,1748,19587,746
"02/06/1999",2629,70896,1964,19529,636
"02/13/1999",2447,66543,1610,17929,551
"02/20/1999",1885,55132,1248,15562,522
"02/27/1999",2040,54038,1572,25072,552
"03/06/1999",2090,54609,1542,17499,539
"03/13/1999",1887,51900,1801,17108,465
"03/20/1999",2137,51396,1464,16461,472
"03/27/1999",2168,49805,1256,16110,405
"04/03/1999",2353,50948,1762,16519,360
"04/10/1999",2288,53952,2405,21757,603
"04/17/1999",2037,49177,1598,23355,494
"04/24/1999",2161,45041,1614,18758,447
"05/01/1999",1996,47493,1579,16074,503
"05/08/1999",1997,55719,1643,14257,419
"05/15/1999",1729,45998,1770,14371,284
"05/22/1999",1584,45290,1742,13730,309
"05/29/1999",1691,44559,1694,14196,324
"06/05/1999",1628,43189,1986,13656,360
"06/12/1999",1962,46856,1722,14255,371
"06/19/1999",1658,50026,1836,12812,313
"06/26/1999",1568,49244,1589,14083,267
"07/03/1999",1590,52654,1579,18013,244
"07/10/1999",1311,46481,1860,26769,335
"07/17/1999",1414,47102,1706,20474,278
"07/24/1999",1404,43291,1411,13614,260
"07/31/1999",1379,45740,1572,13276,257
"08/07/1999",1446,49016,1636,13154,281
"08/14/1999",1219,43497,1464,12982,223
"08/21/1999",1341,42481,1193,13334,212
"08/28/1999",1372,40545,1497,14540,206
"09/04/1999",1476,43113,1500,12781,227
"09/11/1999",1545,38685,1399,11244,228
"09/18/1999",1747,43501,1440,13808,193
"09/25/1999",1725,42990,1279,13001,278
"10/02/1999",2044,44027,1207,12552,270
"10/09/1999",2059,48263,1830,13619,337
"10/16/1999",1960,42141,1478,13017,363
"10/23/1999",2047,49570,1475,14490,421
"10/30/1999",2287,48026,1619,14547,417
"11/06/1999",2472,60994,1577,14849,621
"11/13/1999",1892,58477,1315,15929,454
"11/20/1999",2295,62781,1499,17158,529
"11/27/1999",1660,40387,1020,14861,667
"12/04/1999",2113,60126,1629,24299,593
"12/11/1999",2055,49072,1407,16561,551
"12/18/1999",2082,48670,1399,16673,603
"12/25/1999",1820,48626,1544,18445,709
"01/01/2000",1757,37253,1382,27451,498
"01/08/2000",3580,58879,2880,37604,882
"01/15/2000",2626,50818,1845,22887,719
"01/22/2000",1934,50773,1571,17040,498
"01/29/2000",2069,52523,1799,20546,544
"02/05/2000",2052,63663,1615,17694,526
"02/12/2000",1897,57902,1310,17529,458
"02/19/2000",1810,56578,1300,14600,427
"02/26/2000",1584,51042,1068,14157,382
"03/04/2000",1896,53865,1505,21980,389
"03/11/2000",2174,50944,1367,14432,420
"03/18/2000",1956,45679,1217,12956,443
"03/25/2000",1904,43796,1220,13813,451
"04/01/2000",2029,42535,1116,13622,341
"04/08/2000",2287,43527,2100,14370,472
"04/15/2000",1808,40406,1598,13192,388
"04/22/2000",1825,44003,1109,13845,381
"04/29/2000",1701,39490,1241,20580,359
"05/06/2000",1774,48561,1429,21295,288
"05/13/2000",1592,45822,1431,12145,283
"05/20/2000",1642,42096,1284,12241,313
"05/27/2000",1588,40841,1206,12440,293
"06/03/2000",1677,40337,1181,11977,280
"06/10/2000",1807,45289,1311,14115,356
"06/17/2000",1477,48336,1306,12572,309
"06/24/2000",1354,49083,1452,13120,267
"07/01/2000",1474,47673,1282,17545,222
"07/08/2000",1262,43774,1670,23114,300
"07/15/2000",1439,44716,1559,21977,288
"07/22/2000",1376,42073,1271,12980,265
"07/29/2000",1310,40852,1224,12217,233
"08/05/2000",1382,47406,1321,13012,245
"08/12/2000",1361,44542,1345,13586,195
"08/19/2000",1336,39537,1114,14864,215
"08/26/2000",1336,38952,1367,15232,234
"09/02/2000",1418,38889,1243,13025,238
"09/09/2000",1574,37374,1113,11381,199
"09/16/2000",1626,39908,1199,13708,253
"09/23/2000",1543,40456,1122,11930,233
"09/30/2000",1648,42601,1035,11725,261
"10/07/2000",1946,47525,1550,13450,404
"10/14/2000",1713,44176,1258,12712,366
"10/21/2000",1722,46818,1270,13721,428
"10/28/2000",1937,46295,1103,14089,419
"11/04/2000",2266,58986,1177,15304,532
"11/11/2000",2054,47394,1134,17054,682
"11/18/2000",2149,60888,1438,17360,944
"11/25/2000",1575,42099,1246,15362,470
"12/02/2000",1940,56139,1320,26853,680
"12/09/2000",1939,48829,1254,18387,536
"12/16/2000",1855,48283,1144,18834,787
"12/23/2000",2368,50680,1287,19695,681
"12/30/2000",1860,42486,1320,22658,511
"01/06/2001",2670,45628,1692,41621,534
"01/13/2001",2552,57397,1872,27213,785
"01/20/2001",1778,41325,1134,17813,471
"01/27/2001",1901,54714,1501,21594,499
"02/03/2001",1835,59835,1384,20803,417
"02/10/2001",1810,61218,1390,20136,436
"02/17/2001",1645,52047,1454,18348,400
"02/24/2001",1618,53182,1218,16023,329
"03/03/2001",1732,55905,1420,25875,371
"03/10/2001",2011,58165,1250,17931,438
"03/17/2001",1857,51280,1281,21928,373
"03/24/2001",1788,48891,1249,17019,286
"03/31/2001",1762,49453,1144,17583,255
"04/07/2001",2008,52514,1995,18681,433
"04/14/2001",1756,51118,5247,19763,383
"04/21/2001",1559,50068,3971,30217,334
"04/28/2001",1615,48411,3585,19572,224
"05/05/2001",1669,55442,2839,16522,249
"05/12/2001",1558,55190,1945,17174,266
"05/19/2001",1455,51770,1424,17806,205
"05/26/2001",1443,49595,1346,17427,232
"06/02/2001",1342,43580,1430,17214,174
"06/09/2001",1525,50593,1586,18927,339
"06/16/2001",1365,51953,1432,16349,264
"06/23/2001",1363,54129,1748,18169,205
"06/30/2001",1363,53570,1306,21843,181
"07/07/2001",1330,48641,1595,27957,227
"07/14/2001",1318,54437,1791,29184,199
"07/21/2001",1175,51918,1411,18672,177
"07/28/2001",1164,48414,1323,17444,168
"08/04/2001",1203,54203,1567,17143,182
"08/11/2001",1162,52998,1403,17339,165
"08/18/2001",1108,47738,1217,18401,175
"08/25/2001",1143,47209,1394,19767,180
"09/01/2001",1113,47709,1358,17325,171
"09/08/2001",1290,44250,1329,16945,177
"09/15/2001",1490,44955,1453,17812,194
"09/22/2001",1738,54304,4088,28503,236
"09/29/2001",1795,58782,5099,30464,253
"10/06/2001",1946,63962,4052,30073,271
"10/13/2001",1765,56786,3344,25832,334
"10/20/2001",1846,67177,2635,26041,368
"10/27/2001",2327,62619,3024,25647,393
"11/03/2001",2325,66723,2707,24211,406
"11/10/2001",2170,67357,2670,26708,494
"11/17/2001",1943,62457,2661,23851,512
"11/24/2001",1620,47862,1805,23931,452
"12/01/2001",2158,67127,2550,34238,771
"12/08/2001",2081,60208,2695,25577,697
"12/15/2001",1689,52738,2135,24399,555
"12/22/2001",2030,48436,2609,25163,587
"12/29/2001",1894,36801,1895,26596,558
"01/05/2002",2448,57613,2292,52234,632
"01/12/2002",2701,91481,3098,36192,904
"01/19/2002",2163,79782,2563,28338,674
"01/26/2002",1892,66967,1981,23693,556
"02/02/2002",1930,68609,2467,24093,548
"02/09/2002",1191,66767,2430,25222,615
"02/16/2002",1766,57920,1760,21752,491
"02/23/2002",1764,55146,1375,20276,429
"03/02/2002",1875,58208,1850,30242,528
"03/09/2002",1931,58799,1805,22490,491
"03/16/2002",1798,54265,1606,20308,445
"03/23/2002",1905,58744,1556,20721,417
"03/30/2002",3446,60087,1423,24263,430
"04/06/2002",3609,55056,2116,30774,543
"04/13/2002",2439,63829,1992,30835,609
"04/20/2002",1988,65554,1939,19724,783
"04/27/2002",1899,61886,1978,21074,402
"05/04/2002",1710,58442,2054,19669,337
"05/11/2002",1728,56917,1928,20308,369
"05/18/2002",1463,52615,2019,18546,383
"05/25/2002",1798,54426,1684,20307,403
"06/01/2002",1487,45349,1238,17126,352
"06/08/2002",1798,53456,1615,20991,441
"06/15/2002",1486,55111,1740,17415,390
"06/22/2002",1295,57963,1673,19396,406
"06/29/2002",1427,57183,1428,22223,320
"07/06/2002",1316,55323,1495,32730,302
"07/13/2002",1568,61104,1843,31752,412
"07/20/2002",1542,57700,1411,19020,389
"07/27/2002",1381,59024,1410,17693,337
"08/03/2002",1439,51530,1436,17591,341
"08/10/2002",1330,53187,1467,18493,355
"08/17/2002",1423,51663,1243,17763,305
"08/24/2002",1445,51521,1481,21782,378
"08/31/2002",1302,49708,1353,19261,365
"09/07/2002",1403,45561,1411,18997,360
"09/14/2002",1787,51055,1676,20573,412
"09/21/2002",1879,52949,1468,19140,400
"09/28/2002",1856,52169,1363,18521,363
"10/05/2002",2165,63033,1454,20846,538
"10/12/2002",2186,61702,1777,21813,499
"10/19/2002",1770,60476,1723,18888,483
"10/26/2002",2359,59879,1911,21726,650
"11/02/2002",2119,60404,1409,20819,849
"11/09/2002",2165,68193,1530,23819,917
"11/16/2002",2025,54922,1610,22214,686
"11/23/2002",2103,72428,1532,24064,689
"11/30/2002",1758,43771,1253,22272,828
"12/07/2002",2193,64043,2439,33661,856
"12/14/2002",1857,57110,2014,25170,753
"12/21/2002",2273,64958,1443,22512,728
"12/28/2002",2091,55624,1520,23247,757
"01/04/2003",2476,53114,1862,51564,738
"01/11/2003",3198,75336,2403,36397,990
"01/18/2003",2669,73609,1863,30058,816
"01/25/2003",2023,62590,1531,24902,687
"02/01/2003",2244,63564,1547,25704,714
"02/08/2003",2068,67283,1644,24841,743
"02/15/2003",1968,57723,1449,22049,617
"02/22/2003",1726,57572,1311,20930,544
"03/01/2003",1881,62858,1429,33730,615
"03/08/2003",1900,62205,1551,23109,550
"03/15/2003",1857,57078,1410,21191,471
"03/22/2003",1964,57900,1460,19981,681
"03/29/2003",2340,56385,1329,19762,554
"04/05/2003",2016,56743,2024,21551,548
"04/12/2003",2288,65710,2135,22192,647
"04/19/2003",2078,61865,1644,23002,457
"04/26/2003",1896,58686,1669,27880,389
"05/03/2003",1652,58061,1528,30585,469
"05/10/2003",1963,58478,1748,21097,467
"05/17/2003",1744,52146,1583,19337,377
"05/24/2003",1880,52454,1530,21571,342
"05/31/2003",1526,46803,1330,19076,401
"06/07/2003",1879,56931,1731,21889,456
"06/14/2003",1549,56254,1820,18426,365
"06/21/2003",1513,60013,1732,18888,356
"06/28/2003",1445,57828,1383,21516,327
"07/05/2003",1429,60031,1289,31521,335
"07/12/2003",1555,63692,2041,38419,425
"07/19/2003",1458,56306,1404,20976,350
"07/26/2003",1269,51472,1329,18083,262
"08/02/2003",1281,51521,1358,18201,318
"08/09/2003",1231,52750,1515,19178,304
"08/16/2003",1336,44445,1112,18270,291
"08/23/2003",1318,48942,1301,19171,327
"08/30/2003",1279,50419,2081,20290,323
"09/06/2003",1361,45591,1670,19852,290
"09/13/2003",1512,50734,1439,21866,329
"09/20/2003",1947,48425,1310,18306,343
"09/27/2003",2022,46464,1241,18032,311
"10/04/2003",2034,57898,1494,18322,394
"10/11/2003",2144,58083,1597,20301,508
"10/18/2003",1846,54311,1459,17420,463
"10/25/2003",2552,67829,1334,19311,475
"11/01/2003",2225,55018,1193,19783,617
"11/08/2003",2381,63722,1533,22052,1038
"11/15/2003",2058,53962,1174,20831,638
"11/22/2003",2402,60966,1388,22926,637
"11/29/2003",1761,41478,1233,20770,723
"12/06/2003",2283,57961,1629,32092,663
"12/13/2003",1842,48354,1496,22509,712
"12/20/2003",2109,45025,1376,23324,644
"12/27/2003",1997,48951,1138,22866,786
"01/03/2004",2374,43369,1504,43356,576
"01/10/2004",3005,58102,2265,39196,1076
"01/17/2004",1458,58010,1499,29037,770
"01/24/2004",2927,49387,1349,25595,550
"01/31/2004",2175,56855,1574,24094,582
"02/07/2004",2061,57263,1461,24818,631
"02/14/2004",1904,44631,1303,20833,601
"02/21/2004",1535,48579,1437,18029,399
"02/28/2004",1765,58077,1288,31524,480
"03/06/2004",1837,50815,1643,19178,590
"03/13/2004",1698,48636,1727,18094,467
"03/20/2004",1739,45763,1346,17487,416
"03/27/2004",2027,43842,1335,19148,378
"04/03/2004",2093,42002,1851,16365,411
"04/10/2004",2045,54064,1500,20396,621
"04/17/2004",1682,47265,1626,35363,426
"04/24/2004",1582,46901,1288,21139,365
"05/01/2004",1534,43313,1223,17753,325
"05/08/2004",1537,45069,1326,17284,315
"05/15/2004",1450,43348,1215,16831,333
"05/22/2004",1716,42218,1138,16399,362
"05/29/2004",1498,40708,1105,16885,420
"06/05/2004",1521,43381,1214,17596,401
"06/12/2004",1338,42855,1175,15910,290
"06/19/2004",1523,48920,1473,17495,299
"06/26/2004",1191,45054,1127,18169,274
"07/03/2004",1343,47353,1163,25987,287
"07/10/2004",1219,48026,1279,35990,370
"07/17/2004",1316,45513,1174,23505,285
"07/24/2004",1212,42742,1095,17650,269
"07/31/2004",1161,41341,1036,16252,255
"08/07/2004",1294,43169,1308,17040,275
"08/14/2004",1210,39733,1208,16424,259
"08/21/2004",1173,39846,1013,17020,257
"08/28/2004",1269,37739,1041,20007,280
"09/04/2004",1307,40642,1215,17922,321
"09/11/2004",1269,35314,1164,16900,312
"09/18/2004",1720,39886,1134,18450,326
"09/25/2004",2119,38942,1000,16773,327
"10/02/2004",2219,43022,1074,15526,289
"10/09/2004",2189,46050,1284,18817,471
"10/16/2004",1835,37740,1054,17152,432
"10/23/2004",1878,49289,1149,18726,448
"10/30/2004",2045,48763,1017,18628,514
"11/06/2004",2408,52288,1230,19249,647
"11/13/2004",1929,45998,1075,19084,489
"11/20/2004",2318,51678,1163,21215,532
"11/27/2004",1618,37210,924,17622,622
"12/04/2004",2104,51187,1304,31635,807
"12/11/2004",1773,47104,1229,20647,580
"12/18/2004",1917,44073,1068,20232,480
"12/25/2004",1891,48149,935,23173,648
"01/01/2005",1960,49710,1514,34046,562
"01/08/2005",3287,61736,1909,49443,953
"01/15/2005",2329,59251,1381,26854,1002
"01/22/2005",1960,47796,1225,21874,466
"01/29/2005",2006,49991,1277,24614,431
"02/05/2005",2001,49876,1250,22278,462
"02/12/2005",1758,46098,1842,19600,441
"02/19/2005",1705,47440,969,17605,448
"02/26/2005",1543,44609,911,17560,341
"03/05/2005",1717,45818,1099,30182,348
"03/12/2005",1710,44824,1071,18643,312
"03/19/2005",1819,39977,1070,17195,443
"03/26/2005",1787,45372,820,17691,391
"04/02/2005",2019,36929,1264,19955,313
"04/09/2005",2012,47909,1458,19932,573
"04/16/2005",1848,41580,1120,16755,401
"04/23/2005",1587,44436,991,16166,408
"04/30/2005",1540,41643,978,21209,380
"05/07/2005",1646,40746,1092,29319,278
"05/14/2005",1547,39044,966,17154,444
"05/21/2005",1504,38841,950,16019,342
"05/28/2005",1475,37890,905,16300,294
"06/04/2005",1393,35513,1006,16153,385
"06/11/2005",1331,40011,942,16979,305
"06/18/2005",1420,40165,1300,15345,246
"06/25/2005",1255,39481,1050,16933,272
"07/02/2005",1092,39221,967,21689,232
"07/09/2005",1151,37531,1019,32626,300
"07/16/2005",1199,40195,977,24554,230
"07/23/2005",1079,37043,880,16016,205
"07/30/2005",1095,36006,886,15048,212
"08/06/2005",1130,37730,958,15737,219
"08/13/2005",1087,34673,901,15330,227
"08/20/2005",1081,33187,748,16379,242
"08/27/2005",1304,33481,1008,19093,237
"09/03/2005",1433,33392,976,17109,255
"09/10/2005",1238,30616,862,16306,232
"09/17/2005",1835,36462,945,16570,252
"09/24/2005",1889,34295,879,14935,269
"10/01/2005",2156,34382,763,14592,214
"10/08/2005",2078,39540,1097,18098,548
"10/15/2005",1953,31142,959,18746,448
"10/22/2005",1971,40361,1078,20414,353
"10/29/2005",2270,38567,854,16635,421
"11/05/2005",2258,39420,983,19492,467
"11/12/2005",2059,35695,826,16503,371
"11/19/2005",2457,44270,988,21389,547
"11/26/2005",1558,29943,763,17769,375
"12/03/2005",2093,52879,1297,28983,789
"12/10/2005",1888,39086,959,19937,820
"12/17/2005",2166,41464,825,22361,440
"12/24/2005",2199,46494,930,22115,485
"12/31/2005",1878,35799,885,27284,417
"01/07/2006",2836,52484,1302,47167,607
"01/14/2006",2361,47545,1142,26028,509
"01/21/2006",1904,41913,1001,18416,427
"01/28/2006",1940,40915,1102,19784,361
"02/04/2006",1864,41914,1257,19695,303
"02/11/2006",1700,43727,986,18870,301
"02/18/2006",1483,35741,905,17168,503
"02/25/2006",1474,34803,939,16729,450
"03/04/2006",1622,42715,1318,28778,329
"03/11/2006",1534,46216,1183,17319,319
"03/18/2006",1736,39248,1176,15769,368
"03/25/2006",1662,37240,1370,17040,326
"04/01/2006",1521,33265,1662,14394,245
"04/08/2006",1803,52432,1849,16595,525
"04/15/2006",1486,40907,1112,16566,311
"04/22/2006",1616,41201,966,24014,259
"04/29/2006",1488,39500,975,27728,312
"05/06/2006",1610,40242,984,16386,242
"05/13/2006",1473,38239,988,15493,223
"05/20/2006",1281,36729,1068,15329,265
"05/27/2006",1438,39150,977,16758,276
"06/03/2006",1458,33024,1061,14322,290
"06/10/2006",1359,35571,1127,16326,267
"06/17/2006",1435,40176,962,14378,212
"06/24/2006",1184,39885,1122,15527,191
"07/01/2006",1094,38605,985,19771,201
"07/08/2006",1228,42144,1088,33165,321
"07/15/2006",1357,40630,1036,26706,220
"07/22/2006",1183,36013,857,14783,220
"07/29/2006",1153,39615,924,14562,190
"08/05/2006",1156,38389,1044,14614,177
"08/12/2006",1095,36436,970,15044,162
"08/19/2006",1091,35932,735,14250,196
"08/26/2006",1171,35833,965,18749,191
"09/02/2006",1245,35166,877,16713,197
"09/09/2006",1214,30480,920,14568,184
"09/16/2006",1370,34816,1033,15716,215
"09/23/2006",1477,36110,889,15198,227
"09/30/2006",1400,35917,898,14318,207
"10/07/2006",2315,40100,1241,16611,332
"10/14/2006",1927,38302,1058,15444,361
"10/21/2006",1714,37529,1226,17410,334
"10/28/2006",1887,40946,1039,18424,321
"11/04/2006",2257,40742,1124,18999,469
"11/11/2006",1988,41191,954,18965,324
"11/18/2006",2531,51121,1204,18980,483
"11/25/2006",1564,40281,856,16853,307
"12/02/2006",2061,49543,1061,27183,566
"12/09/2006",1754,41022,1005,19256,432
"12/16/2006",1738,46902,963,20527,376
"12/23/2006",1776,48824,1001,18595,342
"12/30/2006",1550,39946,1048,24292,582
"01/06/2007",1479,44339,1322,51319,438
"01/13/2007",3316,54358,1487,24429,697
"01/20/2007",1836,43371,1074,19100,542
"01/27/2007",1844,48749,1243,20123,433
"02/03/2007",1711,47381,1108,18714,418
"02/10/2007",1629,46294,1153,19273,425
"02/17/2007",1487,43583,970,18877,402
"02/24/2007",1405,39142,884,16821,330
"03/03/2007",1519,45583,1112,27525,375
"03/10/2007",1678,42402,997,16890,380
"03/17/2007",1641,38306,1033,15943,332
"03/24/2007",1538,40169,1230,15739,308
"03/31/2007",1319,38747,1011,14305,355
"04/07/2007",1979,47397,1109,18158,606
"04/14/2007",1448,42103,1038,34204,557
"04/21/2007",1514,42850,959,20627,321
"04/28/2007",1400,42485,1031,15756,270
"05/05/2007",1340,41714,1026,15111,226
"05/12/2007",1271,40194,1064,14359,273
"05/19/2007",1394,40773,1096,14399,306
"05/26/2007",1605,40865,989,16196,273
"06/02/2007",1412,33578,864,14641,410
"06/09/2007",1367,43931,1125,15788,311
"06/16/2007",1230,43115,1071,13969,304
"06/23/2007",1065,42335,1153,15038,227
"06/30/2007",1056,43736,997,19006,240
"07/07/2007",1267,45824,1209,31255,343
"07/14/2007",1153,43410,1237,24570,279
"07/21/2007",1016,40865,1043,14812,221
"07/28/2007",1032,41035,1041,14221,243
"08/04/2007",1071,39249,1110,14483,223
"08/11/2007",1041,41634,1053,15824,252
"08/18/2007",1015,37252,870,15397,232
"08/25/2007",1124,39297,1126,18592,238
"09/01/2007",1142,38658,1021,17023,241
"09/08/2007",1133,34373,1004,14857,208
"09/15/2007",1266,39693,1169,15438,213
"09/22/2007",1407,39576,895,15018,229
"09/29/2007",1349,39271,952,13720,272
"10/06/2007",1490,45569,1189,16809,303
"10/13/2007",2270,40738,1269,15085,385
"10/20/2007",1642,47733,1231,17619,402
"10/27/2007",1849,48471,1063,16117,389
"11/03/2007",1949,49807,1059,16652,411
"11/10/2007",2073,55564,1141,19042,448
"11/17/2007",1887,49662,1006,18731,432
"11/24/2007",1498,39259,924,17815,475
