"Title:","Vehicles in Fatal Crashes, by Vehicle Make / Model Year from the Fatal Traffic Accidents: Vehicles Involved Database"
"SubTitle:","USA - Model: All Models - Vehicle Year: All Vehicle Years"
"Time:","01/1975 - 12/2020"
"Unit of Measure:","#","#","#","#","#","#","#","#","#","#","#","#","#","#"
"Citation:","National Highway Traffic Safety Administration (2022-05-06). Fatal Traffic Accidents: Vehicles Involved: Vehicles in Fatal Crashes, by Vehicle Make / Model Year | All Types | Automobiles | Motorcycles | All Makes | Cadillac | Ford | Honda | Kia | Toyota | All Models | All Vehicle Years, 01/1975 - 12/2020. Data Planet? Statistical Datasets: A SAGE Publishing Resource. (Dataset). Dataset-ID:  023-004-006 doi:https://doi.org/10.6068/DP1845DDC34BC56"
"ColumnCount:",15
"RowCount:",552

"Time","All Types, All Makes, All Models, All Vehicle Years, #","All Types, Cadillac, All Models, All Vehicle Years, #","All Types, Ford, All Models, All Vehicle Years, #","All Types, Honda, All Models, All Vehicle Years, #","All Types, Kia, All Models, All Vehicle Years, #","All Types, Toyota, All Models, All Vehicle Years, #","Automobiles, All Makes, All Models, All Vehicle Years, #","Automobiles, Cadillac, All Models, All Vehicle Years, #","Automobiles, Ford, All Models, All Vehicle Years, #","Automobiles, Honda, All Models, All Vehicle Years, #","Automobiles, Kia, All Models, All Vehicle Years, #","Automobiles, Toyota, All Models, All Vehicle Years, #","Motorcycles, All Makes, All Models, All Vehicle Years, #","Motorcycles, Honda, All Models, All Vehicle Years, #"
"07/2000",5344,53,1008,288,11,277,2522,51,386,168,5,168,401,105
"08/2000",5289,62,1016,285,9,272,2427,62,371,171,6,153,428,95
"09/2000",5137,71,956,241,14,273,2424,68,378,157,11,161,347,71
"10/2000",5178,66,977,266,17,258,2540,66,368,199,13,169,251,52
"11/2000",4625,51,865,214,9,272,2362,51,313,179,7,175,119,17
"12/2000",4817,51,966,219,12,274,2378,50,373,186,8,168,82,20
"01/2001",4117,60,795,186,13,198,2067,58,306,148,8,135,73,25
"02/2001",3956,46,745,186,17,230,1975,46,279,153,9,149,97,27
"03/2001",4311,52,813,187,11,216,2131,51,316,149,9,148,156,30
"04/2001",4526,47,832,225,15,250,2194,46,323,152,10,166,308,58
"05/2001",5028,53,924,284,17,276,2306,52,352,187,13,158,357,82
"06/2001",4873,51,896,294,21,256,2246,48,309,164,18,158,402,92
"07/2001",5229,53,997,327,17,264,2398,51,367,197,11,167,441,109
"08/2001",5373,61,996,297,22,282,2471,56,361,169,16,191,425,102
"09/2001",4930,52,940,274,9,250,2275,49,353,161,7,158,388,90
"10/2001",5304,49,974,287,17,258,2524,47,353,209,11,164,271,57
"11/2001",5104,52,972,261,15,273,2440,50,388,188,7,166,200,47
"12/2001",5167,63,1007,273,22,304,2561,59,388,209,15,187,142,40
"01/2002",4567,51,880,231,18,242,2256,51,328,185,16,151,102,23
"02/2002",4034,57,766,194,5,242,1974,55,279,153,3,153,127,24
"03/2002",4727,55,919,255,22,251,2284,52,336,195,12,158,184,40
"04/2002",4455,52,844,240,15,222,2142,51,357,170,7,140,259,56
"05/2002",5008,40,923,296,17,268,2317,35,354,181,13,164,374,97
"06/2002",5155,54,949,312,20,264,2291,52,324,177,12,153,451,112
"07/2002",5262,56,986,321,27,275,2369,55,354,187,18,158,431,103
"08/2002",5314,70,954,353,22,288,2310,65,324,201,15,167,482,117
"09/2002",5109,51,949,291,18,265,2330,49,301,174,12,176,431,94
"10/2002",5154,43,955,237,21,270,2406,39,360,159,13,162,249,54
"11/2002",4796,50,887,243,22,310,2313,45,302,177,16,183,178,45
"12/2002",4845,62,918,217,22,293,2383,60,326,174,16,183,93,19
"01/2003",4167,47,815,188,16,249,1947,46,271,151,13,149,85,15
"02/2003",3809,51,748,201,16,220,1778,48,268,155,11,139,98,30
"03/2003",4370,45,823,230,16,250,2042,44,288,161,11,161,216,50
"04/2003",4812,44,920,316,25,228,2194,42,327,205,20,146,376,86
"05/2003",4924,54,903,269,22,259,2250,52,335,160,16,162,373,76
"06/2003",5126,56,905,300,25,274,2253,56,319,179,10,172,460,97
"07/2003",5373,58,943,321,22,290,2276,56,330,183,12,163,509,103
"08/2003",5574,50,1009,364,34,280,2390,48,344,225,24,154,536,106
"09/2003",5070,40,925,302,29,291,2222,33,314,181,18,189,472,94
"10/2003",5482,58,1062,309,22,280,2460,52,372,203,13,182,351,68
"11/2003",5279,62,983,305,24,297,2522,57,327,228,20,188,198,48
"12/2003",4891,50,957,219,25,311,2236,46,306,169,18,183,128,25
"01/2004",4505,37,841,229,30,260,2075,36,312,178,20,158,125,23
"02/2004",4055,40,781,218,14,221,1929,37,278,161,10,134,145,36
"03/2004",4449,47,812,249,27,254,2033,43,271,165,14,169,270,61
"04/2004",4683,54,866,274,35,238,2086,51,274,169,19,152,366,79
"05/2004",5152,45,894,312,30,273,2203,44,314,179,22,155,469,97
"06/2004",5145,54,957,323,32,273,2131,52,295,186,19,166,480,106
"07/2004",5294,57,887,373,25,266,2182,54,280,209,15,146,576,126
"08/2004",5419,51,974,376,26,293,2199,50,313,208,17,166,549,130
"09/2004",4910,53,836,304,21,268,2032,53,265,174,18,152,464,111
"10/2004",5231,55,921,327,30,323,2283,49,281,217,26,177,349,77
"11/2004",4849,53,903,261,27,289,2224,48,297,194,20,164,191,40
"12/2004",5037,66,943,274,29,287,2311,59,329,205,18,177,136,34
"01/2005",4298,59,784,231,27,244,1968,53,271,173,19,148,148,27
"02/2005",4011,44,757,223,31,212,1812,39,245,165,20,134,130,26
"03/2005",4411,41,769,249,31,249,1959,36,260,178,22,149,239,45
"04/2005",4914,53,824,312,34,253,2054,49,263,196,23,141,446,98
"05/2005",5019,47,911,332,27,275,2084,45,293,186,14,160,487,107
"06/2005",5186,53,871,340,26,323,2086,50,252,191,14,186,527,111
"07/2005",5683,49,959,363,37,303,2285,42,295,191,24,181,622,115
"08/2005",5282,50,911,350,35,285,2171,47,310,185,24,175,579,126
"09/2005",5081,50,914,344,26,270,2034,48,273,184,17,170,609,126
"10/2005",5504,53,995,329,43,296,2314,45,323,216,24,176,458,83
"11/2005",5212,70,935,313,39,296,2266,63,299,207,29,164,291,63
"12/2005",4894,69,950,258,38,296,2141,61,278,200,23,175,146,25
"01/2006",4411,59,788,238,28,265,1960,54,255,166,15,164,191,40
"02/2006",4047,36,701,221,35,264,1778,34,215,166,22,155,161,32
"03/2006",4612,55,793,277,24,258,1999,53,256,190,12,146,297,51
"04/2006",4658,36,763,328,24,261,1906,33,242,181,13,166,493,100
"05/2006",5117,49,851,359,32,282,2116,44,282,216,22,178,575,105
"06/2006",5120,55,835,332,35,292,1994,51,252,165,23,162,589,119
"07/2006",5236,48,866,358,31,309,2066,42,275,183,21,179,652,127
"08/2006",5153,51,854,350,30,283,2064,47,253,188,20,163,613,119
"09/2006",4956,52,810,360,31,264,1997,48,259,180,22,155,555,126
"10/2006",5235,68,931,321,35,325,2211,62,302,214,21,195,360,65
"11/2006",4793,46,857,264,31,309,2038,42,283,162,21,179,300,58
"12/2006",4756,51,851,259,37,301,2134,45,280,199,20,179,176,36
"01/2007",4060,52,715,244,28,278,1791,45,232,171,20,167,138,35
"02/2007",3968,39,688,208,32,233,1730,30,230,159,21,137,151,27
"03/2007",4746,51,819,301,34,266,1927,46,248,193,18,165,392,68
"04/2007",4614,30,824,326,35,295,1960,24,259,188,23,195,438,106
"05/2007",4899,39,793,339,28,241,1923,38,279,167,15,150,646,136
"06/2007",4961,43,794,339,32,289,1939,37,252,179,20,169,626,118
"07/2007",5123,44,844,340,30,287,1933,35,249,160,16,171,686,139
"08/2007",5029,45,837,354,32,304,1909,37,267,179,22,169,660,138
"09/2007",4753,53,770,312,31,245,1808,49,234,155,19,161,635,114
"10/2007",4961,52,770,328,37,309,2022,47,233,188,24,201,489,96
"11/2007",4640,46,802,265,32,329,1981,38,255,175,17,181,268,51
"12/2007",4499,42,811,269,47,275,1940,35,260,181,27,156,176,38
"01/2008",3916,47,684,201,32,256,1786,42,232,151,27,159,148,24
"02/2008",3929,43,655,213,36,279,1714,42,222,154,27,172,193,34
"03/2008",3834,43,679,218,31,240,1661,40,237,135,21,139,294,44
"04/2008",4021,47,675,300,38,241,1569,38,189,156,31,151,501,106
"05/2008",4329,38,691,312,35,270,1679,36,232,134,20,157,613,119
"06/2008",4487,37,693,370,42,262,1682,32,212,162,28,159,698,154
"07/2008",4422,46,640,332,41,229,1638,40,206,144,21,129,717,142
"08/2008",4663,49,727,343,31,279,1758,41,215,135,20,166,745,157
"09/2008",4185,36,605,280,30,256,1562,32,186,129,21,146,574,105
"10/2008",4512,47,694,295,43,287,1871,42,224,160,25,179,483,97
"11/2008",4151,46,715,237,35,263,1781,38,200,162,19,174,278,45
"12/2008",4211,49,736,240,31,267,1780,41,213,166,13,173,165,28
"01/2009",3565,40,639,204,26,270,1528,37,201,145,15,156,144,20
"02/2009",3171,43,546,201,23,197,1397,39,185,136,15,126,209,38
"03/2009",3459,38,554,213,32,244,1418,29,163,134,17,150,273,43
"04/2009",3930,41,607,229,37,278,1558,32,169,115,20,178,465,79
"05/2009",4100,53,651,326,29,238,1616,50,211,165,22,137,582,111
"06/2009",4013,27,627,302,27,265,1541,22,186,155,13,160,551,102
"07/2009",4083,31,655,294,30,263,1470,24,187,159,16,150,592,100
"08/2009",4196,36,630,313,34,242,1617,34,191,162,22,150,581,98
"09/2009",3869,42,610,256,35,245,1538,31,189,130,20,150,511,91
"10/2009",3857,28,665,255,29,252,1615,25,206,157,21,139,308,60
"11/2009",3720,38,625,243,29,272,1593,33,210,145,17,171,283,54
"12/2009",3577,35,622,185,35,263,1523,28,177,124,23,167,103,25
"01/2010",3107,40,544,177,51,218,1371,34,173,124,29,146,125,16
"02/2010",2801,24,450,188,27,203,1211,22,146,136,14,121,110,18
"03/2010",3336,29,532,223,44,210,1434,25,167,140,32,149,265,49
"04/2010",3804,31,601,273,27,274,1542,25,189,127,17,167,468,105
"05/2010",3956,35,559,298,42,265,1540,28,172,151,25,164,551,95
"06/2010",3821,41,613,285,30,237,1390,36,176,135,22,149,587,107
"07/2010",4200,34,616,317,31,264,1525,27,168,139,18,146,619,114
"08/2010",4183,33,621,270,37,271,1522,28,177,131,21,167,629,95
"09/2010",4094,35,673,263,24,257,1529,27,176,124,20,158,526,87
"10/2010",4136,45,624,288,37,260,1655,41,189,177,24,165,442,69
"11/2010",3854,29,652,233,36,274,1578,24,183,147,21,161,214,34
"12/2010",3570,39,617,218,37,253,1511,28,186,151,23,157,115,24
"01/2011",3076,31,517,213,34,222,1345,25,161,159,23,134,153,31
"02/2011",2868,27,467,175,36,215,1167,24,126,116,23,126,182,34
"03/2011",3311,28,527,197,29,253,1341,26,162,117,15,142,267,45
"04/2011",3508,26,547,243,41,228,1433,24,166,133,23,143,408,72
"05/2011",3744,41,567,254,44,237,1415,32,165,132,27,148,533,92
"06/2011",3937,35,569,300,30,236,1446,31,163,137,19,134,603,114
"07/2011",4232,45,636,358,36,272,1591,37,184,165,23,166,652,138
"08/2011",4109,35,580,306,45,262,1469,28,161,132,30,160,640,128
"09/2011",3824,22,607,262,50,244,1458,21,195,144,29,145,507,75
"10/2011",4194,37,632,278,39,280,1694,31,174,148,24,167,444,82
"11/2011",3692,34,568,218,38,305,1588,27,163,136,23,196,235,45
"12/2011",3624,35,589,222,51,286,1564,29,170,152,34,169,144,25
"01/2012",3330,39,555,188,32,255,1454,34,160,131,28,166,174,22
"02/2012",3189,25,529,206,37,230,1390,22,188,140,19,139,161,34
"03/2012",3678,33,516,265,35,247,1461,28,177,143,22,149,439,81
"04/2012",3548,32,524,268,42,214,1435,27,163,157,28,120,451,82
"05/2012",3966,43,607,309,33,242,1479,41,185,141,22,149,579,111
"06/2012",4131,32,570,316,50,258,1500,26,158,137,35,159,664,107
"07/2012",4164,37,656,307,28,265,1548,31,191,149,17,160,603,104
"08/2012",4258,36,617,309,53,296,1578,31,172,161,32,168,623,100
"09/2012",4074,29,586,259,61,285,1563,24,190,126,42,161,575,86
"10/2012",3997,41,598,260,46,291,1608,35,183,151,23,174,395,57
"11/2012",3853,30,608,230,58,275,1624,28,154,151,37,170,276,40
"12/2012",3772,35,606,243,56,302,1633,26,171,168,39,187,168,27
"01/2013",3416,27,523,217,44,267,1424,24,149,139,26,158,163,35
"02/2013",2845,22,453,183,28,221,1177,17,120,124,20,130,135,24
"03/2013",3552,39,545,223,42,279,1488,35,167,140,23,183,301,44
"04/2013",3464,28,528,258,39,273,1399,21,163,134,27,163,397,72
"05/2013",3817,34,547,298,35,274,1445,26,164,141,21,170,504,104
"06/2013",4009,33,596,297,39,285,1481,28,183,157,29,170,573,85
"07/2013",3933,30,524,291,56,241,1453,23,152,123,37,137,583,108
"08/2013",4304,32,583,347,56,305,1607,29,160,162,30,187,695,139
"09/2013",4106,41,588,316,45,286,1587,33,175,153,25,185,612,109
"10/2013",4135,43,609,269,52,285,1622,32,165,158,26,180,433,67
"11/2013",3803,36,590,253,43,260,1651,25,179,165,31,179,265,41
"12/2013",3717,40,550,197,50,330,1624,31,169,123,35,203,137,26
"01/2014",3260,36,528,183,53,269,1362,26,143,112,35,170,164,26
"02/2014",2802,23,451,184,30,236,1192,17,129,124,20,145,145,25
"03/2014",3374,25,508,241,39,264,1379,22,142,144,23,169,279,46
"04/2014",3478,34,513,265,53,247,1395,26,158,141,39,141,389,71
"05/2014",3891,43,494,263,38,261,1507,35,175,132,21,166,564,83
"06/2014",3887,34,541,300,35,276,1395,30,151,136,23,177,621,101
"07/2014",4011,32,550,309,52,282,1476,26,158,144,38,168,590,93
"08/2014",4175,32,596,323,56,262,1587,25,203,171,30,160,585,93
"09/2014",3897,30,523,294,48,301,1480,23,155,141,26,195,522,91
"10/2014",4242,41,637,290,41,344,1720,33,189,180,30,202,422,61
"11/2014",4044,33,620,282,57,292,1715,27,182,189,33,184,243,39
"12/2014",3889,46,624,275,58,338,1688,37,206,173,45,197,181,31
"01/2015",3584,40,560,243,62,291,1557,32,168,163,48,170,167,33
"02/2015",3057,27,481,205,55,249,1280,23,147,127,29,159,152,26
"03/2015",3721,31,568,247,47,257,1537,26,147,146,34,167,320,55
"04/2015",3741,32,526,265,60,264,1489,25,143,149,43,166,430,61
"05/2015",4333,38,619,320,55,299,1689,33,191,168,39,178,575,85
"06/2015",4260,41,591,321,53,327,1639,32,170,164,42,204,585,99
"07/2015",4628,42,598,350,69,346,1714,30,158,161,49,211,666,117
"08/2015",4630,40,639,349,71,342,1728,34,195,170,42,182,647,113
"09/2015",4380,33,651,317,63,290,1715,25,183,165,44,194,560,93
"10/2015",4610,37,644,331,67,375,1849,30,195,176,44,231,493,74
"11/2015",4212,43,634,267,60,378,1775,33,199,162,41,218,269,52
"12/2015",4322,42,639,304,64,357,1846,30,218,186,42,210,266,47
"01/2016",3483,33,516,231,51,285,1521,27,176,149,36,162,160,24
"02/2016",3668,41,532,271,67,294,1587,32,174,180,47,177,243,43
"03/2016",4065,39,557,318,67,345,1709,34,191,186,49,211,346,60
"04/2016",4172,39,591,309,67,321,1649,32,170,157,47,195,472,77
"05/2016",4580,34,606,345,74,340,1750,25,163,178,55,199,634,102
"06/2016",4721,34,652,379,77,358,1809,27,182,202,47,207,617,102
"07/2016",4583,48,614,331,68,340,1711,39,173,181,43,207,653,81
"08/2016",4794,31,656,364,69,368,1812,23,185,186,44,218,635,104
"09/2016",4758,35,648,327,74,366,1773,28,178,159,58,210,630,103
"10/2016",4933,42,696,339,77,407,1978,34,208,189,48,241,537,77
"11/2016",4570,49,668,367,80,365,1927,38,198,226,50,218,344,54
"12/2016",4387,47,656,313,83,391,1853,37,182,190,62,239,193,34
"01/2017",3988,36,564,264,69,355,1734,32,174,176,53,220,195,25
"02/2017",3487,29,454,251,75,276,1467,25,150,166,52,172,271,30
"03/2017",4183,34,611,281,76,324,1791,28,181,168,48,198,328,43
"04/2017",4257,40,582,298,79,349,1718,29,213,158,58,219,517,78
"05/2017",4523,42,590,357,78,373,1764,33,164,195,57,225,537,88
"06/2017",4752,31,667,369,64,367,1804,24,188,186,42,218,643,109
"07/2017",4980,49,683,387,78,338,1819,41,197,198,44,200,724,103
"08/2017",4515,39,624,336,73,357,1744,29,194,152,50,220,586,104
"09/2017",4874,41,625,382,99,410,1875,28,192,193,64,267,652,120
"10/2017",4726,38,677,326,83,394,1809,29,190,180,56,232,438,63
"11/2017",4441,36,680,299,81,428,1883,30,219,183,59,239,283,34
"12/2017",4402,33,675,306,71,371,1873,26,198,177,54,211,211,37
"01/2018",4056,39,599,298,64,370,1749,28,190,188,40,214,202,35
"02/2018",3547,39,479,256,68,317,1446,33,133,164,49,186,217,31
"03/2018",4084,42,607,280,76,337,1675,27,185,162,50,200,287,50
"04/2018",3985,37,568,289,76,340,1644,32,186,182,48,215,387,50
"05/2018",4598,38,608,332,90,370,1746,28,170,182,53,217,583,79
"06/2018",4648,33,612,345,83,372,1669,20,179,158,63,213,687,96
"07/2018",4610,37,626,328,75,356,1688,27,190,164,48,218,637,80
"08/2018",4648,31,612,353,90,328,1693,22,169,174,60,196,659,101
"09/2018",4600,31,632,342,62,363,1778,20,195,181,43,204,572,77
"10/2018",4825,33,725,313,97,394,1846,27,218,181,60,222,450,57
"11/2018",4164,38,595,278,88,402,1692,25,187,176,58,237,240,44
"12/2018",4107,38,571,291,74,355,1717,28,171,173,52,196,193,32
"01/2019",3875,34,558,259,81,347,1596,25,153,163,67,203,147,20
"02/2019",3344,26,488,250,78,287,1391,13,158,137,59,174,179,37
"03/2019",3959,36,541,292,75,329,1623,25,170,169,62,186,340,45
"04/2019",4072,36,512,279,89,334,1538,25,154,149,61,185,421,54
"05/2019",4487,41,601,331,80,380,1649,25,166,156,48,230,593,91
"06/2019",4535,44,567,327,76,387,1622,37,156,154,56,210,652,98
"07/2019",4592,36,619,335,76,389,1628,26,182,148,49,231,666,114
"08/2019",4699,37,590,377,90,372,1700,30,145,172,61,220,677,120
"09/2019",4674,30,631,350,72,330,1645,21,163,177,51,181,619,86
"10/2019",4560,29,662,351,76,415,1767,22,195,204,47,243,397,61
"11/2019",4339,34,620,299,94,395,1731,28,190,167,62,219,247,38
"12/2019",4111,45,591,255,107,367,1696,34,171,155,84,216,176,31
"01/2020",3760,31,541,239,91,364,1539,20,165,147,59,217,165,22
"02/2020",3747,36,515,295,77,339,1596,26,165,193,55,196,212,35
"03/2020",3548,28,463,283,82,295,1441,17,131,151,57,187,326,49
"04/2020",3077,30,383,253,59,245,1198,20,122,146,41,143,365,55
"05/2020",4267,42,562,340,85,325,1588,26,154,172,57,198,551,89
"06/2020",5186,36,665,392,96,354,1878,23,220,213,64,203,707,94
"07/2020",5251,57,636,423,95,398,1964,43,200,206,61,226,740,116
"08/2020",5426,37,690,434,100,428,1991,29,223,205,73,243,775,120
"09/2020",5230,42,673,415,99,352,1921,29,196,212,76,216,703,113
"10/2020",5480,42,711,433,128,455,2037,28,208,219,95,246,573,92
"11/2020",4784,51,634,379,98,408,1903,38,175,225,57,231,385,51
"12/2020",4516,41,584,306,114,397,1826,28,167,173,74,220,213,35



"Publisher:", "National Highway Traffic Safety Administration"
"Copyright:", "The data contained in Data Planet(tm): A SAGE Publishing Resource is made available via license agreement with subscribing organizations. Your organization's license may vary from this version."
